server_id,server_type,location,cpu_cores,memory_gb,storage_tb,power_rating_watts,efficiency_rating,cooling_requirement,age_years
SRV-001,CPU-Intensive,US-East,32,64,2,342,0.88,151.5,2
SRV-002,Storage-Intensive,US-East,8,32,2,438,0.83,53.98,4
SRV-003,Storage-Intensive,US-West,64,128,1,363,0.87,101.04,3
SRV-004,GPU-Intensive,EU-Central,8,32,8,299,0.79,101.59,5
SRV-005,CPU-Intensive,Asia-Pacific,8,256,1,765,0.77,144.3,6
SRV-006,GPU-Intensive,US-East,8,64,4,281,0.91,179.97,7
SRV-007,Memory-Intensive,Asia-Pacific,32,64,4,563,0.75,90.05,2
SRV-008,GPU-Intensive,US-West,16,256,8,476,0.95,146.0,4
SRV-009,Memory-Intensive,US-East,16,32,4,610,0.77,81.65,6
SRV-010,GPU-Intensive,Asia-Pacific,64,256,2,471,0.73,161.75,5
SRV-011,Storage-Intensive,Asia-Pacific,32,64,2,721,0.82,163.37,2
SRV-012,GPU-Intensive,US-West,64,32,8,590,0.85,120.21,5
SRV-013,CPU-Intensive,US-East,32,128,1,500,0.81,118.06,5
SRV-014,GPU-Intensive,US-East,32,64,2,582,0.89,130.91,1
SRV-015,Memory-Intensive,Asia-Pacific,8,32,4,514,0.76,86.13,2
SRV-016,CPU-Intensive,Asia-Pacific,8,64,2,686,0.94,74.77,7
SRV-017,GPU-Intensive,US-West,32,256,4,648,0.92,117.72,4
SRV-018,GPU-Intensive,US-East,32,32,2,425,0.7,156.18,1
SRV-019,GPU-Intensive,US-East,8,128,1,726,0.76,150.35,4
SRV-020,GPU-Intensive,Asia-Pacific,16,256,8,394,0.72,148.85,6
SRV-021,Storage-Intensive,Asia-Pacific,64,32,1,262,0.8,100.9,2
SRV-022,GPU-Intensive,US-West,16,256,2,632,0.75,119.39,2
SRV-023,Storage-Intensive,US-East,8,32,1,442,0.74,122.85,4
SRV-024,Storage-Intensive,US-East,16,256,1,599,0.77,167.61,8
SRV-025,Memory-Intensive,Asia-Pacific,64,64,2,503,0.75,58.77,1
SRV-026,Memory-Intensive,US-East,8,256,2,258,0.94,62.02,3
SRV-027,CPU-Intensive,US-East,16,256,1,783,0.76,139.18,2
SRV-028,Storage-Intensive,EU-Central,32,64,4,444,0.77,69.63,5
SRV-029,Storage-Intensive,EU-Central,8,32,8,776,0.95,60.99,4
SRV-030,Memory-Intensive,US-West,32,32,2,578,0.77,115.73,5
SRV-031,CPU-Intensive,EU-Central,8,64,4,318,0.92,161.36,3
SRV-032,Memory-Intensive,EU-Central,16,128,2,470,0.83,87.67,1
