timestamp,location,carbon_intensity_gco2_kwh,renewable_energy_pct,grid_demand_mw,electricity_price_per_kwh
2024-01-01 00:00:00,US-East,409,0.58,1441,0.098
2024-01-01 00:00:00,US-West,251,0.74,1452,0.143
2024-01-01 00:00:00,EU-Central,286,0.53,651,0.111
2024-01-01 00:00:00,Asia-Pacific,494,0.79,1112,0.125
2024-01-01 01:00:00,US-East,404,0.61,1435,0.139
2024-01-01 01:00:00,US-West,275,0.8,1489,0.087
2024-01-01 01:00:00,EU-Central,248,0.54,1677,0.101
2024-01-01 01:00:00,Asia-Pacific,539,0.38,1848,0.108
2024-01-01 02:00:00,US-East,351,0.54,1904,0.134
2024-01-01 02:00:00,US-West,256,0.75,1517,0.138
2024-01-01 02:00:00,EU-Central,236,0.67,971,0.122
2024-01-01 02:00:00,Asia-Pacific,495,0.33,889,0.123
2024-01-01 03:00:00,US-East,436,0.65,1850,0.128
2024-01-01 03:00:00,US-West,267,0.58,1785,0.125
2024-01-01 03:00:00,EU-Central,239,0.67,568,0.121
2024-01-01 03:00:00,Asia-Pacific,543,0.28,1104,0.103
2024-01-01 04:00:00,US-East,403,0.31,770,0.135
2024-01-01 04:00:00,US-West,296,0.52,1058,0.138
2024-01-01 04:00:00,EU-Central,232,0.75,1486,0.148
2024-01-01 04:00:00,Asia-Pacific,487,0.65,1193,0.136
2024-01-01 05:00:00,US-East,409,0.78,788,0.133
2024-01-01 05:00:00,US-West,278,0.72,1983,0.127
2024-01-01 05:00:00,EU-Central,250,0.78,1641,0.106
2024-01-01 05:00:00,Asia-Pacific,500,0.21,1598,0.089
2024-01-01 06:00:00,US-East,397,0.6,1876,0.098
2024-01-01 06:00:00,US-West,298,0.69,1260,0.088
2024-01-01 06:00:00,EU-Central,229,0.48,1768,0.142
2024-01-01 06:00:00,Asia-Pacific,521,0.4,1749,0.095
2024-01-01 07:00:00,US-East,358,0.58,1450,0.144
2024-01-01 07:00:00,US-West,288,0.59,738,0.09
2024-01-01 07:00:00,EU-Central,204,0.38,1508,0.088
2024-01-01 07:00:00,Asia-Pacific,480,0.73,777,0.107
2024-01-01 08:00:00,US-East,397,0.6,1926,0.146
2024-01-01 08:00:00,US-West,303,0.55,1988,0.091
2024-01-01 08:00:00,EU-Central,253,0.59,1502,0.123
2024-01-01 08:00:00,Asia-Pacific,485,0.22,1258,0.095
2024-01-01 09:00:00,US-East,406,0.77,1242,0.087
2024-01-01 09:00:00,US-West,337,0.42,1820,0.105
2024-01-01 09:00:00,EU-Central,250,0.37,750,0.146
2024-01-01 09:00:00,Asia-Pacific,508,0.26,934,0.125
2024-01-01 10:00:00,US-East,426,0.78,603,0.135
2024-01-01 10:00:00,US-West,281,0.79,1656,0.094
2024-01-01 10:00:00,EU-Central,297,0.53,1700,0.095
2024-01-01 10:00:00,Asia-Pacific,479,0.4,802,0.135
2024-01-01 11:00:00,US-East,426,0.2,796,0.149
2024-01-01 11:00:00,US-West,319,0.35,857,0.088
2024-01-01 11:00:00,EU-Central,203,0.28,1233,0.135
2024-01-01 11:00:00,Asia-Pacific,480,0.55,532,0.092
2024-01-01 12:00:00,US-East,356,0.28,1362,0.117
2024-01-01 12:00:00,US-West,345,0.24,1418,0.134
2024-01-01 12:00:00,EU-Central,265,0.56,1425,0.115
2024-01-01 12:00:00,Asia-Pacific,528,0.23,1849,0.117
2024-01-01 13:00:00,US-East,408,0.59,563,0.084
2024-01-01 13:00:00,US-West,311,0.71,1373,0.128
2024-01-01 13:00:00,EU-Central,262,0.63,1408,0.085
2024-01-01 13:00:00,Asia-Pacific,460,0.39,803,0.085
2024-01-01 14:00:00,US-East,385,0.57,1698,0.118
2024-01-01 14:00:00,US-West,291,0.43,1723,0.117
