workload_id,workload_type,priority,estimated_duration_hours,cpu_requirement,memory_requirement_gb,estimated_energy_kwh,carbon_tolerance,deadline_hours,energy_efficiency_score
WL-0001,Data-Processing,High,7.25,0.51,16,8.49,Strict,19.62,0.81
WL-0002,ML-Training,Medium,22.88,0.86,47,2.36,Moderate,33.7,0.72
WL-0003,Web-Service,Medium,1.49,0.28,4,4.63,Moderate,3.29,0.93
WL-0004,Web-Service,Medium,1.45,0.21,44,3.81,Strict,3.45,0.89
WL-0005,Web-Service,Critical,1.77,0.45,54,6.49,Strict,3.26,0.9
WL-0006,AI-Inference,High,0.18,0.47,30,9.71,Moderate,0.3,0.88
WL-0007,AI-Inference,Critical,0.1,0.54,49,1.72,Moderate,0.28,0.77
WL-0008,AI-Inference,Medium,0.32,0.61,60,8.58,Moderate,0.42,0.79
WL-0009,Data-Processing,Critical,2.83,0.6,20,9.17,Moderate,5.87,0.77
WL-0010,Web-Service,Medium,0.75,0.45,38,2.46,Strict,1.04,0.86
WL-0011,Data-Processing,Critical,1.9,0.66,9,7.91,Moderate,5.41,0.7
WL-0012,ML-Training,Medium,16.41,0.83,57,5.59,Strict,26.46,0.64
WL-0013,Web-Service,Low,1.83,0.3,6,8.53,Strict,2.53,0.91
WL-0014,AI-Inference,Medium,0.41,0.41,6,3.09,Flexible,1.08,0.75
WL-0015,AI-Inference,Low,0.34,0.44,8,1.2,Strict,0.85,0.79
WL-0016,AI-Inference,Low,0.06,0.62,51,6.09,Moderate,0.09,0.89
WL-0017,Data-Processing,Critical,6.49,0.63,16,1.45,Strict,14.53,0.75
WL-0018,AI-Inference,Critical,0.18,0.43,22,9.12,Strict,0.38,0.83
WL-0019,AI-Inference,Low,0.06,0.55,32,2.63,Flexible,0.11,0.81
WL-0020,Web-Service,Medium,0.95,0.34,55,6.48,Flexible,1.3,0.85
WL-0021,Web-Service,Critical,0.49,0.48,43,8.46,Strict,1.24,0.81
WL-0022,Web-Service,Medium,0.21,0.35,6,3.55,Strict,0.48,0.91
WL-0023,ML-Training,Critical,7.9,0.75,24,9.62,Flexible,14.06,0.7
WL-0024,AI-Inference,Low,0.28,0.66,31,7.14,Moderate,0.4,0.76
WL-0025,ML-Training,Low,5.57,0.89,6,8.91,Moderate,8.39,0.69
WL-0026,AI-Inference,Low,0.11,0.66,31,9.96,Strict,0.32,0.75
WL-0027,Data-Processing,Medium,4.66,0.68,22,5.47,Flexible,12.32,0.8
WL-0028,Data-Processing,Medium,4.64,0.58,14,5.48,Moderate,5.64,0.84
WL-0029,AI-Inference,Medium,0.13,0.54,16,7.09,Strict,0.26,0.75
WL-0030,ML-Training,Medium,3.34,0.82,26,6.47,Flexible,5.67,0.67
WL-0031,AI-Inference,High,0.31,0.49,39,5.64,Strict,0.49,0.81
WL-0032,Web-Service,Medium,0.3,0.26,55,5.46,Strict,0.76,0.88
WL-0033,Data-Processing,Critical,5.03,0.76,17,2.1,Flexible,14.99,0.84
WL-0034,ML-Training,Low,22.45,0.85,24,1.24,Flexible,32.48,0.7
WL-0035,AI-Inference,Medium,0.24,0.54,39,4.24,Moderate,0.6,0.86
WL-0036,Data-Processing,Medium,3.18,0.66,14,9.48,Moderate,7.89,0.83
WL-0037,AI-Inference,Critical,0.3,0.55,45,3.81,Flexible,0.83,0.85
WL-0038,AI-Inference,Medium,0.4,0.5,28,4.05,Strict,1.19,0.84
WL-0039,Web-Service,Low,0.94,0.36,62,4.0,Moderate,1.98,0.85
WL-0040,ML-Training,Low,15.35,0.71,48,7.19,Moderate,35.69,0.7
WL-0041,ML-Training,Critical,20.99,0.93,15,5.0,Strict,53.55,0.73
WL-0042,ML-Training,Medium,2.84,0.71,59,8.58,Flexible,5.55,0.63
WL-0043,ML-Training,High,3.23,0.86,58,2.34,Strict,8.17,0.62
WL-0044,Data-Processing,High,6.86,0.75,37,0.63,Strict,13.21,0.81
WL-0045,ML-Training,Low,3.43,0.91,15,4.71,Moderate,7.87,0.75
WL-0046,AI-Inference,High,0.13,0.62,39,3.83,Moderate,0.26,0.75
WL-0047,ML-Training,Low,14.46,0.82,15,3.52,Strict,42.48,0.62
WL-0048,Web-Service,Medium,1.6,0.27,23,8.45,Strict,4.63,0.81
WL-0049,Web-Service,High,1.52,0.42,15,3.15,Strict,2.69,0.86
WL-0050,Web-Service,High,1.69,0.28,48,4.68,Flexible,3.51,0.95
WL-0051,Data-Processing,Medium,3.44,0.69,6,9.52,Strict,6.52,0.79
WL-0052,Web-Service,High,1.99,0.33,17,3.75,Strict,4.36,0.9
WL-0053,Data-Processing,Low,1.64,0.73,63,1.6,Strict,3.82,0.77
WL-0054,AI-Inference,Low,0.11,0.58,24,7.16,Strict,0.21,0.81
WL-0055,ML-Training,Medium,5.49,0.82,62,3.9,Flexible,11.21,0.78
WL-0056,Web-Service,Critical,1.53,0.33,50,4.29,Flexible,2.53,0.89
WL-0057,Data-Processing,Medium,5.21,0.64,52,9.38,Strict,7.26,0.71
WL-0058,AI-Inference,Medium,0.4,0.69,63,3.36,Strict,1.17,0.75
